libdjvulibre-text	3.5.28-2.2~deb12u1	all	ii 
libdjvulibre21:arm64	3.5.28-2.2~deb12u1	arm64	ii 
libdpkg-perl	1.21.23	all	ii 
libedit2:arm64	3.1-20221030-2	arm64	ii 
libelf1:arm64	0.188-2.1	arm64	ii 
liberror-perl	0.17029-2	all	ii 
libevent-2.1-7:arm64	2.1.12-stable-8	arm64	ii 
libevent-core-2.1-7:arm64	2.1.12-stable-8	arm64	ii 
libevent-dev	2.1.12-stable-8	arm64	ii 
libevent-extra-2.1-7:arm64	2.1.12-stable-8	arm64	ii 
libevent-openssl-2.1-7:arm64	2.1.12-stable-8	arm64	ii 
libevent-pthreads-2.1-7:arm64	2.1.12-stable-8	arm64	ii 
libexif-dev:arm64	0.6.24-1+deb12u1	arm64	ii 
libexif12:arm64	0.6.24-1+deb12u1	arm64	ii 
libexpat1:arm64	2.5.0-1+deb12u2	arm64	ii 
libexpat1-dev:arm64	2.5.0-1+deb12u2	arm64	ii 
libext2fs2:arm64	1.47.0-2+b2	arm64	ii 
libffi-dev:arm64	3.4.4-1	arm64	ii 
libffi8:arm64	3.4.4-1	arm64	ii 
libfftw3-double3:arm64	3.3.10-1	arm64	ii 
libfido2-1:arm64	1.12.0-2+b1	arm64	ii 
libfontconfig-dev:arm64	2.14.1-4	arm64	ii 
libfontconfig1:arm64	2.14.1-4	arm64	ii 
libfreetype-dev:arm64	2.12.1+dfsg-5+deb12u4	arm64	ii 
libfreetype6:arm64	2.12.1+dfsg-5+deb12u4	arm64	ii 
libfreetype6-dev:arm64	2.12.1+dfsg-5+deb12u4	arm64	ii 
libfribidi0:arm64	1.0.8-2.1	arm64	ii 
libgcc-12-dev:arm64	12.2.0-14+deb12u1	arm64	ii 
libgcc-s1:arm64	12.2.0-14+deb12u1	arm64	ii 
libgcrypt20:arm64	1.10.1-3+deb12u1	arm64	ii 
libgdbm-compat4:arm64	1.23-3	arm64	ii 
libgdbm-dev:arm64	1.23-3	arm64	ii 
libgdbm6:arm64	1.23-3	arm64	ii 
libgdk-pixbuf-2.0-0:arm64	2.42.10+dfsg-1+deb12u4	arm64	ii 
libgdk-pixbuf-2.0-dev:arm64	2.42.10+dfsg-1+deb12u4	arm64	ii 
libgdk-pixbuf2.0-bin	2.42.10+dfsg-1+deb12u4	arm64	ii 
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4	all	ii 
libgirepository-1.0-1:arm64	1.74.0-3	arm64	ii 
libglib2.0-0:arm64	2.74.6-2+deb12u9	arm64	ii 
libglib2.0-bin	2.74.6-2+deb12u9	arm64	ii 
libglib2.0-data	2.74.6-2+deb12u9	all	ii 
libglib2.0-dev:arm64	2.74.6-2+deb12u9	arm64	ii 
libglib2.0-dev-bin	2.74.6-2+deb12u9	arm64	ii 
libgmp-dev:arm64	2:6.2.1+dfsg1-1.1	arm64	ii 
libgmp10:arm64	2:6.2.1+dfsg1-1.1	arm64	ii 
libgmpxx4ldbl:arm64	2:6.2.1+dfsg1-1.1	arm64	ii 
libgnutls30:arm64	3.7.9-2+deb12u7	arm64	ii 
libgomp1:arm64	12.2.0-14+deb12u1	arm64	ii 
libgpg-error0:arm64	1.46-1	arm64	ii 
libgprofng0:arm64	2.40-2	arm64	ii 
libgraphite2-3:arm64	1.3.14-1+deb12u1	arm64	ii 
libgssapi-krb5-2:arm64	1.20.1-2+deb12u5	arm64	ii 
libgssrpc4:arm64	1.20.1-2+deb12u5	arm64	ii 
libharfbuzz0b:arm64	6.0.0+dfsg-3	arm64	ii 
libheif1:arm64	1.15.1-1+deb12u1	arm64	ii 
libhogweed6:arm64	3.8.1-2	arm64	ii 
libhwasan0:arm64	12.2.0-14+deb12u1	arm64	ii 
libice-dev:arm64	2:1.0.10-1	arm64	ii 
libice6:arm64	2:1.0.10-1	arm64	ii 
libicu-dev:arm64	72.1-3+deb12u1	arm64	ii 
libicu72:arm64	72.1-3+deb12u1	arm64	ii 
libidn2-0:arm64	2.3.3-1+b1	arm64	ii 
libimath-3-1-29:arm64	3.1.6-1	arm64	ii 
libimath-dev:arm64	3.1.6-1	arm64	ii 
libisl23:arm64	0.25-1.1	arm64	ii 
libitm1:arm64	12.2.0-14+deb12u1	arm64	ii 
libjansson4:arm64	2.14-2	arm64	ii 
libjbig-dev:arm64	2.1-6.1	arm64	ii 
libjbig0:arm64	2.1-6.1	arm64	ii 
libjpeg-dev:arm64	1:2.1.5-2	arm64	ii 
libjpeg62-turbo:arm64	1:2.1.5-2	arm64	ii 
libjpeg62-turbo-dev:arm64	1:2.1.5-2	arm64	ii 
